# t 	 Sigma_L 	 Sigma_R 	 ILR 
1.714	1.1800000000000002	1.920000000000001	-0.022132138686249983
1.715	1.1800000000000002	1.920000000000001	-0.02197563424731913
1.716	1.1800000000000002	1.920000000000001	-0.02181641722749493
1.717	1.2000000000000002	1.920000000000001	0.004777320340333797
1.718	1.2000000000000002	1.940000000000001	-0.012487578528233269
1.719	1.2000000000000002	1.940000000000001	-0.01230061290648509
1.72	1.2000000000000002	1.940000000000001	-0.01211158073759979
1.721	1.2000000000000002	1.940000000000001	-0.011920482021577354
1.722	1.2000000000000002	1.940000000000001	-0.011727316758417733
1.723	1.2000000000000002	1.940000000000001	-0.011532084948120996
1.724	1.2000000000000002	1.940000000000001	-0.011334786590687054
1.725	1.2000000000000002	1.940000000000001	-0.011135421686116045
1.726	1.2000000000000002	1.940000000000001	-0.010933990234407935
1.727	1.2000000000000002	1.940000000000001	-0.01073049223556255
1.728	1.2000000000000002	1.940000000000001	-0.010524927689580084
1.729	1.2000000000000002	1.940000000000001	-0.01031729659646044
1.73	1.2000000000000002	1.940000000000001	-0.010107598956203737
1.731	1.2000000000000002	1.940000000000001	-0.009895834768809793
1.732	1.2000000000000002	1.940000000000001	-0.009682004034278782
1.733	1.2000000000000002	1.940000000000001	-0.009466106752610594
1.734	1.2000000000000002	1.940000000000001	-0.009248142923805228
1.735	1.2000000000000002	1.940000000000001	-0.009028112547862836
1.736	1.2000000000000002	1.940000000000001	-0.00880601562478319
1.737	1.2000000000000002	1.940000000000001	-0.008581852154566402
1.738	1.2000000000000002	1.940000000000001	-0.00835562213721254
1.739	1.2000000000000002	1.940000000000001	-0.008127325572721542
1.74	1.2000000000000002	1.940000000000001	-0.00789696246109331
1.741	1.2000000000000002	1.940000000000001	-0.007664532802328025
1.742	1.2000000000000002	1.940000000000001	-0.0074300365964255
1.743	1.2000000000000002	1.940000000000001	-0.007193473843385964
1.744	1.2000000000000002	1.940000000000001	-0.006954844543209181
1.745	1.2000000000000002	1.940000000000001	-0.006714148695895275
1.746	1.2200000000000004	1.940000000000001	-0.010571913355277476
1.747	1.2200000000000004	1.940000000000001	-0.010320808715639049
1.748	1.2200000000000004	1.940000000000001	-0.010067960545741717
1.749	1.2200000000000004	1.940000000000001	-0.009813368845585362
1.75	1.2200000000000004	1.940000000000001	-0.009557033615170032
