# t 	 SC 	 SH 	 IHC 
2.93	4.469999999999995	10.409999999999995	-0.2691204586135993
2.931	4.474999999999995	10.419999999999993	-0.2533416906737835
2.932	4.474999999999995	10.419999999999993	-0.25384030730191653
2.9330000000000003	4.479999999999994	10.419999999999993	-0.22041166484269883
2.934	4.484999999999994	10.419999999999993	-0.2283650217466632
2.935	4.484999999999994	10.429999999999994	-0.21875071289325168
2.936	4.484999999999994	10.439999999999994	-0.19837751849180763
2.9370000000000003	4.484999999999994	10.439999999999994	-0.19883117970992586
2.938	4.489999999999994	10.439999999999994	-0.19666455332975769
2.939	4.494999999999994	10.439999999999994	-0.18614777335834534
2.94	4.494999999999994	10.444999999999995	-0.19302348989080156
2.9410000000000003	4.494999999999994	10.444999999999995	-0.1935652025549656
2.942	4.494999999999994	10.454999999999997	-0.18015956376881131
2.943	4.494999999999994	10.459999999999996	-0.1776334610137696
2.944	4.494999999999994	10.469999999999997	-0.1999181994436955
2.945	4.494999999999994	10.474999999999996	-0.2081734161952381
2.946	4.494999999999994	10.474999999999996	-0.20848809218413802
2.947	4.499999999999995	10.489999999999998	-0.22499485513141482
2.948	4.499999999999995	10.494999999999997	-0.2243383931756273
2.949	4.504999999999995	10.499999999999998	-0.23648962111420943
2.95	4.5099999999999945	10.499999999999998	-0.24570316304771808
2.951	4.5099999999999945	10.504999999999997	-0.25857886978694866
2.952	4.5099999999999945	10.509999999999996	-0.2484032585364006
2.953	4.5099999999999945	10.509999999999996	-0.2488286760269606
2.954	4.5099999999999945	10.514999999999997	-0.24368918758004549
2.955	4.514999999999994	10.514999999999997	-0.2703955472223151
2.956	4.514999999999994	10.514999999999997	-0.2708062325255364
2.957	4.514999999999994	10.514999999999997	-0.2712074730167062
2.958	4.519999999999995	10.519999999999996	-0.2778415276980926
2.959	4.524999999999995	10.529999999999996	-0.30217866356301626
2.96	4.534999999999995	10.529999999999996	-0.28039776222616936
2.961	4.534999999999995	10.549999999999994	-0.3123544931373313
2.962	4.534999999999995	10.549999999999994	-0.31281741084384124
2.963	4.539999999999995	10.554999999999994	-0.2882497246483732
2.964	4.539999999999995	10.564999999999994	-0.27335042065075704
2.965	4.539999999999995	10.564999999999994	-0.273836596381246
2.966	4.544999999999995	10.564999999999994	-0.2776669181874251
2.967	4.544999999999995	10.564999999999994	-0.27817024878701413
2.968	4.544999999999995	10.569999999999995	-0.27432814384160165
2.969	4.544999999999995	10.569999999999995	-0.2748538816168832
2.97	4.544999999999995	10.579999999999995	-0.28708655460196897
2.971	4.544999999999995	10.579999999999995	-0.2875400859678036
2.972	4.544999999999995	10.599999999999994	-0.2709148601656715
2.973	4.544999999999995	10.599999999999994	-0.27146578261340254
2.974	4.544999999999995	10.599999999999994	-0.27200744188008374
2.975	4.544999999999995	10.609999999999994	-0.2629010272034589
2.976	4.5499999999999945	10.609999999999994	-0.2583712185148971
2.977	4.5499999999999945	10.609999999999994	-0.2591685446696734
2.978	4.5499999999999945	10.609999999999994	-0.25995678927440014
2.979	4.559999999999994	10.614999999999993	-0.30004925767466034
2.98	4.559999999999994	10.614999999999993	-0.30079769035434945
2.981	4.559999999999994	10.619999999999994	-0.3139507497961995
2.982	4.559999999999994	10.619999999999994	-0.3146259707844539
2.983	4.559999999999994	10.624999999999993	-0.31860739916746067
2.984	4.559999999999994	10.624999999999993	-0.31933777582071143
2.985	4.559999999999994	10.624999999999993	-0.3200585260309098
2.986	4.564999999999994	10.629999999999994	-0.34333477653115496
2.987	4.564999999999994	10.629999999999994	-0.3441834379152015
2.988	4.564999999999994	10.629999999999994	-0.3450224728561957
2.989	4.564999999999994	10.644999999999992	-0.34454020192963564
2.99	4.564999999999994	10.654999999999994	-0.3349855098444308
2.991	4.564999999999994	10.659999999999993	-0.36137399222395344
2.992	4.564999999999994	10.659999999999993	-0.36223596884686393
2.993	4.564999999999994	10.669999999999993	-0.38186739515451135
2.994	4.564999999999994	10.679999999999993	-0.4079509011774319
2.995	4.564999999999994	10.679999999999993	-0.40878477718096123
2.996	4.564999999999994	10.679999999999993	-0.4096086634794366
2.997	4.564999999999994	10.684999999999993	-0.3821393970053557
2.998	4.564999999999994	10.689999999999992	-0.37467156819244457
2.999	4.564999999999994	10.689999999999992	-0.3754579520522823
3.0	4.569999999999994	10.689999999999992	-0.3915561219005333
3.001	4.569999999999994	10.694999999999993	-0.3929502803331489
3.0020000000000002	4.569999999999994	10.694999999999993	-0.39375338031895263
3.003	4.569999999999994	10.699999999999994	-0.40767046491685416
3.004	4.569999999999994	10.704999999999993	-0.41185963272306686
3.005	4.569999999999994	10.704999999999993	-0.4127244723533503
3.0060000000000002	4.569999999999994	10.719999999999994	-0.3610376867884075
3.007	4.569999999999994	10.719999999999994	-0.3619146982378895
3.008	4.574999999999994	10.724999999999994	-0.35868345215594993
3.009	4.574999999999994	10.724999999999994	-0.35962923857084483
3.0100000000000002	4.574999999999994	10.734999999999996	-0.34820275687934393
3.011	4.574999999999994	10.744999999999996	-0.35825571258928196
3.012	4.579999999999994	10.744999999999996	-0.3564474829959972
3.013	4.579999999999994	10.754999999999995	-0.3242092547894345
3.0140000000000002	4.579999999999994	10.764999999999993	-0.33366973609055095
3.015	4.579999999999994	10.769999999999994	-0.3225980556087526
3.016	4.579999999999994	10.779999999999994	-0.33909193740085614
3.017	4.579999999999994	10.779999999999994	-0.340034450263185
3.0180000000000002	4.579999999999994	10.784999999999993	-0.3582902828831238
3.019	4.579999999999994	10.789999999999994	-0.358652420532311
3.02	4.579999999999994	10.794999999999995	-0.3486682057544292
3.021	4.579999999999994	10.794999999999995	-0.3497873172645536
3.0220000000000002	4.579999999999994	10.794999999999995	-0.35089607580762217
3.023	4.584999999999994	10.794999999999995	-0.35393523914245933
3.024	4.584999999999994	10.799999999999994	-0.33766111000166465
3.025	4.589999999999994	10.799999999999994	-0.31425248387551796
3.0260000000000002	4.589999999999994	10.809999999999993	-0.28291709915962737
3.027	4.589999999999994	10.814999999999994	-0.2874517752042308
3.028	4.594999999999994	10.819999999999993	-0.2757475229285131
3.029	4.594999999999994	10.819999999999993	-0.27677146504827194
3.0300000000000002	4.594999999999994	10.824999999999994	-0.26224612955309484
3.031	4.594999999999994	10.829999999999995	-0.2427939266282345
3.032	4.599999999999994	10.829999999999995	-0.22781900965508634
3.033	4.599999999999994	10.834999999999994	-0.2322408809515745
3.0340000000000003	4.599999999999994	10.839999999999995	-0.24869564258871366
3.035	4.599999999999994	10.839999999999995	-0.24985817856169257
3.036	4.599999999999994	10.839999999999995	-0.2510109064606185
3.037	4.599999999999994	10.844999999999995	-0.2308496914804517
3.0380000000000003	4.599999999999994	10.844999999999995	-0.2319140371507135
3.039	4.609999999999994	10.859999999999994	-0.24058116868659865
3.04	4.609999999999994	10.859999999999994	-0.24165575098161948
3.041	4.614999999999994	10.864999999999993	-0.21276789700896762
3.0420000000000003	4.614999999999994	10.864999999999993	-0.21384346144252445
3.043	4.619999999999995	10.869999999999992	-0.22327435056119546
3.044	4.629999999999995	10.874999999999993	-0.2299442954098493
3.045	4.6349999999999945	10.879999999999992	-0.24351814899372215
3.0460000000000003	4.639999999999994	10.884999999999993	-0.2801566155658503
3.047	4.639999999999994	10.889999999999992	-0.2867217148242298
3.048	4.644999999999994	10.889999999999992	-0.2899177288487761
3.049	4.644999999999994	10.889999999999992	-0.2908396818855877
3.0500000000000003	4.644999999999994	10.889999999999992	-0.29175164521734553
3.051	4.644999999999994	10.89499999999999	-0.2792389400305127
3.052	4.644999999999994	10.899999999999991	-0.2713247916246824
3.053	4.644999999999994	10.909999999999991	-0.29649536935931675
3.0540000000000003	4.644999999999994	10.914999999999992	-0.2699345931144843
3.055	4.644999999999994	10.924999999999992	-0.2654773428620853
3.056	4.644999999999994	10.92999999999999	-0.2462181896366777
3.057	4.644999999999994	10.92999999999999	-0.2470638494845879
3.0580000000000003	4.644999999999994	10.934999999999992	-0.2486720348155907
3.059	4.644999999999994	10.934999999999992	-0.249410445587878
3.06	4.649999999999995	10.934999999999992	-0.21029662334340807
3.061	4.649999999999995	10.939999999999992	-0.23641238277044904
3.0620000000000003	4.649999999999995	10.939999999999992	-0.2370068465534547
3.063	4.649999999999995	10.944999999999991	-0.23564161497763564
3.064	4.649999999999995	10.949999999999992	-0.21877374625420115
3.065	4.654999999999995	10.949999999999992	-0.21036302805808263
3.0660000000000003	4.654999999999995	10.949999999999992	-0.21092062080387364
3.067	4.659999999999995	10.954999999999993	-0.22186880931592132
3.068	4.659999999999995	10.959999999999992	-0.22560831002128787
3.069	4.659999999999995	10.959999999999992	-0.22612357488252138
3.0700000000000003	4.659999999999995	10.959999999999992	-0.2266283051456984
3.071	4.659999999999995	10.959999999999992	-0.22712250081081828
3.072	4.669999999999995	10.969999999999992	-0.22389658405038965
3.073	4.669999999999995	10.969999999999992	-0.22454652650745507
3.074	4.679999999999994	10.97499999999999	-0.22494857299214793
3.075	4.679999999999994	10.979999999999992	-0.23560422753698199
3.076	4.679999999999994	10.98499999999999	-0.23651716122754152
